vendor,actual_share,date,unit_cost_rs_per_thm
acore_mn_ore_mt,0.0,2025-12-28,20374.02002021332
geomin_mt,9.62,2025-12-28,20374.02002021332
gomti_mt,0.0,2025-12-28,20374.02002021332
jrsventures_mt,0.0,2025-12-28,20374.02002021332
lloyds_fines_mt,12.54,2025-12-28,20374.02002021332
lloyds_mt,15.88,2025-12-28,20374.02002021332
mn_ore_mt,0.0,2025-12-28,20374.02002021332
neco_jayaswal_mt,0.0,2025-12-28,20374.02002021332
nmdc_mt,0.0,2025-12-28,20374.02002021332
nmdc_rom_mt,0.0,2025-12-28,20374.02002021332
sinter_sp_02_mt,61.96,2025-12-28,20374.02002021332
total_pellet_mt,0.0,2025-12-28,20374.02002021332
